id,switch_type,speaker,p_en,choice
s01_yv,ms_dom,yv,0.004943,ms
s02_yv,ms_dom,yv,0.00304,ms
s03_yv,ms_dom,yv,0.00011,ms
s04_yv,ms_dom,yv,0.002213,ms
s05_pq,ms_dom,pq,0.017692,ms
s06_pq,ms_dom,pq,0.002925,ms
s07_pq,ms_dom,pq,0.083857,ms
s08_pq,ms_dom,pq,0.038671,ms
s09_yv,en_dom,yv,0.067068,ms
s10_yv,en_dom,yv,0.197355,ms
s11_yv,en_dom,yv,0.262598,ms
s12_yv,en_dom,yv,0.206066,ms
s13_pq,en_dom,pq,0.671366,en
s14_pq,en_dom,pq,0.071746,ms
s15_pq,en_dom,pq,0.56139,en
s16_pq,en_dom,pq,0.660751,en
s17_yv,balanced,yv,7.2e-05,ms
s18_yv,balanced,yv,0.010164,ms
s19_yv,balanced,yv,0.005903,ms
s20_yv,balanced,yv,0.005687,ms
s21_pq,balanced,pq,0.003637,ms
s22_pq,balanced,pq,0.015888,ms
s23_pq,balanced,pq,0.007807,ms
s24_pq,balanced,pq,0.048291,ms
s25_yv,particles,yv,0.000299,ms
s26_yv,particles,yv,0.000743,ms
s27_yv,particles,yv,0.204278,ms
s28_yv,particles,yv,0.034469,ms
s29_pq,particles,pq,0.014358,ms
s30_pq,particles,pq,0.001733,ms
s31_pq,particles,pq,0.006798,ms
s32_pq,particles,pq,0.466488,ms
s33_yv,numeric,yv,0.001672,ms
s34_yv,numeric,yv,9.3e-05,ms
s35_yv,numeric,yv,0.007006,ms
s36_yv,numeric,yv,0.000947,ms
s37_pq,numeric,pq,0.524345,en
s38_pq,numeric,pq,0.001064,ms
s39_pq,numeric,pq,0.001524,ms
s40_pq,numeric,pq,0.01141,ms
s41_yv,entity,yv,0.001795,ms
s42_yv,entity,yv,0.002578,ms
s43_yv,entity,yv,0.006123,ms
s44_yv,entity,yv,0.000178,ms
s45_pq,entity,pq,0.005732,ms
s46_pq,entity,pq,0.026828,ms
s47_pq,entity,pq,0.004937,ms
s48_pq,entity,pq,0.004066,ms
